canonical_tag,home_copyright,evidence_url,evidence_type,evidence_claim,scope_note
cure_black,precure,https://lineup.toei-anim.co.jp/ja/tv/precure/character/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Futari wa Precure official character and cast page identifies Nagisa Misumi as Cure Black.",Exact named transformation identity in the official series cast list.
cure_white,precure,https://lineup.toei-anim.co.jp/ja/tv/precure/character/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Futari wa Precure official character and cast page identifies Honoka Yukishiro as Cure White.",Exact named transformation identity in the official series cast list.
cure_yell,precure,https://www.toei-anim.co.jp/tv/hugtto_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Hugtto Precure official cast listing identifies Hana Nono as Cure Yell.",Exact named transformation identity in the official series cast list.
cure_ange,precure,https://www.toei-anim.co.jp/tv/hugtto_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Hugtto Precure official cast listing identifies Saaya Yakushiji as Cure Ange.",Exact named transformation identity in the official series cast list.
cure_etoile,precure,https://www.toei-anim.co.jp/tv/hugtto_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Hugtto Precure official cast listing identifies Homare Kagayaki as Cure Etoile.",Exact named transformation identity in the official series cast list.
cure_macherie,precure,https://www.toei-anim.co.jp/tv/hugtto_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Hugtto Precure official cast listing identifies Emiru Aisaki as Cure Macherie.",Exact named transformation identity in the official series cast list.
cure_amour,precure,https://www.toei-anim.co.jp/tv/hugtto_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Hugtto Precure official cast listing identifies Ruru Amour as Cure Amour.",Exact named transformation identity in the official series cast list.
cure_summer,precure,https://www.toei-anim.co.jp/tv/tropical-rouge_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Tropical-Rouge Precure official cast listing identifies Manatsu Natsuumi as Cure Summer.",Exact named transformation identity in the official series cast list.
cure_coral,precure,https://www.toei-anim.co.jp/tv/tropical-rouge_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Tropical-Rouge Precure official cast listing identifies Sango Suzumura as Cure Coral.",Exact named transformation identity in the official series cast list.
cure_papaya,precure,https://www.toei-anim.co.jp/tv/tropical-rouge_precure/info/,FIRST_PARTY_SERIES_CAST,"Toei Animation's Tropical-Rouge Precure official cast listing identifies Minori Ichinose as Cure Papaya.",Exact named transformation identity in the official series cast list.
