row_id,canonical_tag,category,post_count,media_scope,first_skip_cycle,last_skip_cycle,skip_count,last_lane,scope_reason,evidence_refs,audit_note
I70-037997,pornhub,Copyright,459,REAL_3D,cycle-0002,cycle-0002,1,5,general real-world commercial service/brand,,The tag identity is the real-world Pornhub service/brand rather than a fictional or illustrated property; skip under 2D-only scope.
I70-038702,eshi_100_nin_ten,Copyright,300,REAL_3D,cycle-0002,cycle-0002,1,2,real-world exhibition/event,https://www.eshi100.com/,絵師100人展 is a real-world exhibition/event rather than a fictional or illustrated property identity.
I70-038722,alien_(1979),Copyright,297,REAL_3D,cycle-0002,cycle-0002,1,2,live-action-only film property,https://www.20thcenturystudios.jp/movies/alien,1979 Alien is a live-action film identity and is outside the 2D-only Copyright scope.
I70-038752,akatsuki_records,Copyright,292,REAL_3D,cycle-0002,cycle-0002,1,2,real-world music circle/artist organization,https://www.youtube.com/channel/UCZaFfDBBCqmYdfp6DJl0cRw,暁Records is the real music circle/artist organization identity rather than a fictional/illustrated property.
I70-038946,bliss_(image),Copyright,266,REAL_3D,cycle-0003,cycle-0003,1,3,real-world photograph/general operating-system wallpaper identity,https://learn.microsoft.com/en-us/shows/expo-hall/expo-hall-photography,Bliss identifies a real-world landscape photograph rather than a fictional or illustrated property; excluded under 2D-only Copyright scope.
I70-039191,nissin,Copyright,239,REAL_3D,cycle-0003,cycle-0003,1,5,general real-world food company/brand,https://www.nissin.com/jp/company/news/13451/,Tag identity is the real Nissin company/brand; out of Issue70 2D fictional-content scope.
I70-039220,japan_railways,Copyright,236,REAL_3D,cycle-0003,cycle-0003,1,5,real-world railway company/group,,Tag identity is a real-world railway entity rather than fictional/illustrated IP.
I70-039270,predator_(1987),Copyright,231,REAL_3D,cycle-0003,cycle-0003,1,5,live-action-only specific 1987 film property,,Specific tag identifies the live-action 1987 film; safely outside the 2D-only scope.
I70-039638,orangina,Copyright,197,REAL_3D,cycle-0004,cycle-0004,1,4,general real-world commercial beverage brand,,canonical identity is the real-world Orangina commercial brand; 2D-only semantic title audit skipped
I70-039935,meiji_(brand),Copyright,176,REAL_3D,cycle-0005,cycle-0005,1,2,general real-world commercial brand/company,https://www.meiji.co.jp/,Official Meiji corporate site confirms this is the real-world food company/brand; outside 2D fictional scope.
I70-039971,culture_japan,Copyright,174,REAL_3D,cycle-0005,cycle-0005,1,3,company/service,,Tag identity is the real-world Culture Japan media/company/service rather than a fictional illustrated property.
I70-040521,the_batman_(2022),Copyright,141,REAL_3D,cycle-0005,cycle-0005,1,5,live-action-only film property,https://www.warnerbros.co.jp/news/cm4_6zpjx/,Warner Bros. identifies THE BATMAN as the 2022 live-action film; this tag is specifically that film.
I70-040529,james_bond_(series),Copyright,140,REAL_3D,cycle-0005,cycle-0005,1,5,live-action film series,,Tag identity is the real-world James Bond film series rather than a 2D/illustrated property.
I70-040574,morinaga_(brand),Copyright,138,REAL_3D,cycle-0005,cycle-0005,1,5,general real-world commercial brand,https://www.morinaga.co.jp/company/about/outline.html,Morinaga official company profile confirms the real-world confectionery company/brand identity.
I70-040722,saw_(movie),Copyright,131,REAL_3D,cycle-0005,cycle-0005,1,5,live-action-only film property,,Tag identity is the live-action Saw movie property and is outside the 2D/fictional-content audit scope.
