row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,reason_code,source_file,effective_source_file
I70-035904,honkai_(series),188054,崩壊,,manual chat curation selected high-confidence Japanese copyright title,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,copyright_final_internal_external_split_batch064.csv,copyright_final_internal_external_split_batch064.csv
I70-035995,utdr_(toby_fox),20287,utdr (toby fox),,,UMBRELLA_FAN_TAG_UNVERIFIED,copyright_batch004_01.csv,copyright_batch004_01.csv
I70-036017,touhou_(pc-98),16614,東方旧作,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-036038,saibou_shinkyoku,14001,さぼしき,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-036064,cookie_(touhou),12161,クッキー☆,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-044438,yaegashi_nan,4598,八重樫南,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044440,mizuki_hitoshi,4382,みずきひとし,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-000706,t-head_trainer_(umamusume),4017,Tヘッドトレーナー（ウマ娘）,Tヘッドトレーナー（ウマ娘） | Tヘッド | Tヘッドトレーナー,AI監修：日本語ファン呼称の表記揺れ確認候補,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-044443,tani_takeshi,3932,谷たけし,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044447,pageratta,3572,ペゲラッタ,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036394,twitter,3190,ツイッター,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-044462,m-da_s-tarou,2968,MだSたろう,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044467,mitarashi_neko,2910,みたらしねこ,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-001100,non-human_admiral_(kancolle),2838,人外提督,人外提督 | 非人間提督,ファン呼称系タグのため日本語定着名を要確認,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-036441,little_red_riding_hood_(fairy_tale),2787,赤ずきん,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-044479,minaba_hideo,2671,皆葉英夫,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044480,kirisawa_juuzou,2669,桐沢十三,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036480,zombie_stage,2576,血鬼舞台,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-044488,namori,2559,なもり,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044493,kato_takuji,2489,加藤拓弐,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044494,houtengeki,2472,方天戟,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044499,kani_biimu,2442,かにビーム,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044504,avogado6,2396,アボガド6,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036539,waktaverse,2317,WAKTAVERSE,,conservative fallback; Japanese title evidence is absent or ambiguous,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-036541,minecraft_youtube,2306,Minecraft YouTube,,conservative fallback; Japanese title evidence is absent or ambiguous,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-001418,justice_task_force_member_(blue_archive),2291,正義実現委員会モブ,正義実現委員会モブ | 正実モブ,ファン定着名と公式役割名の境界を要確認,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-001419,lilith_(fate),2291,リリス,リリス | リリス(Fate),新規Fateキャラクターの公式日本語表記を要確認,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-044516,izumi_tsubasu,2262,和泉つばす,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044523,tsunako,2233,つなこ,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044529,takeuchi_takashi,2168,武内崇,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036584,indie_utaite,2143,indie utaite,,conservative fallback; Japanese title evidence is absent or ambiguous,HIGH_IMPACT_COPYRIGHT_NO_JA_EVIDENCE,copyright_no_trusted_ja_batch018.csv,copyright_no_trusted_ja_batch018.csv
I70-044538,nekotoufu,2088,ねことうふ,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044539,onigirikun,2077,おにぎりくん,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044541,toosaka_asagi,2061,遠坂あさぎ,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044542,sayori_(neko_works),2060,さより（NEKO WORKs）,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044546,yamamoto_souichirou,2036,山本崇一朗,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-001651,nugget_(project_moon),1990,自職員,自職員,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-001667,bloop_(gawr_gura),1971,Bloop,Bloop,日本語表示名・表記の確定に追加確認が必要,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,character_no_trusted_ja_batch010.csv,character_no_trusted_ja_batch010.csv
I70-044559,fujima_takuya,1959,藤真拓哉,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036642,aotu_world,1952,凹凸世界,,conservative fallback; Japanese title evidence is absent or ambiguous,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-044560,tomose_shunsaku,1951,トモセシュンサク,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044567,mattaku_mousuke,1910,まったくモー助,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036664,degrees_of_lewdity,1869,Degrees of Lewdity,,conservative fallback; Japanese title evidence is absent or ambiguous,HIGH_IMPACT_COPYRIGHT_NO_JA_EVIDENCE,copyright_no_trusted_ja_batch018.csv,copyright_no_trusted_ja_batch018.csv
I70-001789,dokibird,1864,Dokibird,Dokibird,日本語表示名・表記の確定に追加確認が必要,HIGH_IMPACT_NO_TRUSTED_JA_EVIDENCE,character_no_trusted_ja_batch010.csv,character_no_trusted_ja_batch010.csv
I70-044577,mochi_au_lait,1840,もちオーレ,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-001883,employee_(project_moon),1786,自職員,自職員,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-044586,koruri,1772,こるり,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036709,world_cup,1767,ワールドカップ,,conservative fallback; Japanese title evidence is absent or ambiguous,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv,copyright_review_external_batch062.csv
I70-044603,ishikei,1708,石恵,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044604,piromizu,1708,ぴろ水,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-036741,doukyuusei_(series),1690,同級生,,established/common Japanese title or official rendering,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,copyright_final_internal_external_split_batch064.csv,copyright_final_internal_external_split_batch064.csv
I70-044614,shiromanta,1676,しろまんた,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-002045,kama_(young)_(fate),1656,カーマ（幼少）,カーマ（幼少）,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-036765,reitaisai_8_contest,1650,reitaisai 8 contest,,conservative fallback; Japanese title evidence is absent or ambiguous,HIGH_IMPACT_COPYRIGHT_NO_JA_EVIDENCE,copyright_no_trusted_ja_batch018.csv,copyright_no_trusted_ja_batch018.csv
I70-002062,soul_(utdr),1647,ソウル,ソウル,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-044627,murakami_suigun,1640,村上水軍,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-044633,asanagi,1628,朝凪,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-002101,tokiko_(touhou),1613,朱鷺子,朱鷺子,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-044643,satou_kuuki,1609,佐藤空気,,,ARTIST_JA_READING_UNSUPPORTED,artist_initial_audit_batch008.csv,artist_initial_audit_batch008.csv
I70-002117,merlin_(fate/prototype),1596,マーリン〔プロトタイプ〕,マーリン〔プロトタイプ〕,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-002139,artoria_pendragon_(swimsuit_ruler)_(first_ascension)_(fate),1586,アルトリア・ペンドラゴン（水着ルーラー・第一再臨）,アルトリア・ペンドラゴン（水着ルーラー・第一再臨）,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
I70-002222,green_(pokemon),1523,ブルー,ブルー,日本語表示名・表記の確定に追加確認が必要,REVIEW_HIGH_IMPACT_UNRESOLVED_EVIDENCE,character_review_final_batch061.csv,character_review_final_batch061.csv
