canonical,post_count,aliases,status,identity_evidence,semantic_overlap,scope_reason,confidence,notes
skindentation,161742,,CANDIDATE,"General canonical; current Special exact normalized Tag absent; no known Special alias closure","none identified","distinct body-surface/shape discovery concept",HIGH,"final programmatic canonical_target closure still required"
ass_visible_through_thighs,117628,"gluteal_fold|butt_fangs|ass_fangs",CANDIDATE,"all known aliases map to this canonical and are non-Special in alias snapshot; current Special exact identity absent","related buttock/anatomy concepts only","distinct visual relation useful for niche discovery",HIGH,"final canonical_target closure still required"
thigh_gap,97349,,CANDIDATE,"General canonical with AliasCount=0 in 2026-09-02 snapshot; current Special exact identity absent","broad thigh/body concepts only","distinct body-shape visual concept",HIGH,"final deterministic closure still required"
micro_bikini,59624,microbikini,CANDIDATE,"General canonical; current Special exact identity absent; no Special alias found in focused audit","broad bikini/clothing overlap only","specific clothing/exposure subtype",HIGH,"existing Issue #94 provisional candidate; final deterministic closure still required"
blood_on_face,59531,bloody_face,NEEDS_REVIEW,"exact localized identity absent in focused current-Special check","broad blood identity exists","likely identity gap; decide whether localized state merits Special discovery entry",MEDIUM,"content severity is not a rejection criterion"
breast_press,68311,,NEEDS_REVIEW,"General canonical; current Special exact identity absent in focused check","breast/contact family overlap possible","needs boundary review between specific action and broad semantic coverage",MEDIUM,"final alias/canonical_target closure required"
same-sex_bathing,14489,,NEEDS_REVIEW,"General canonical in 2026-09-02 coverage source; current Special exact normalized Tag absent","broad bathing/relationship context may overlap","scene/relationship identity needs product-fit review after alias closure",MEDIUM,"not rejected merely because it is not inherently explicit"
mixed-sex_bathing,9158,,NEEDS_REVIEW,"General canonical in 2026-09-02 coverage source; current Special exact normalized Tag absent","broad bathing/relationship context may overlap","scene/relationship identity needs product-fit review after alias closure",MEDIUM,"content-neutral audit"
sperm_cell,2940,,NEEDS_REVIEW,"General canonical in 2026-09-02 coverage source; current Special exact 'sperm cell' absent","Special contains broader sperm identity","distinct cell-level biological motif; decide whether broader sperm coverage is sufficient",MEDIUM,"identity gap is real at exact-term level; final canonical_target closure still required"
cleavage_cutout,121662,"boob_window|heart_cleavage_cutout|tit_window|cleavage_window",DUPLICATE_ALREADY_COVERED,"Special-side alias/canonical linkage reaches cleavage_cutout","same identity","none",HIGH,"false gap caused by legacy marker/linkage incompleteness"
no_panties,115882,nopan,DUPLICATE_ALREADY_COVERED,"Special alias nopan resolves to canonical no_panties","same identity","none",HIGH,"not a true Special gap"
piledriver_(sex),,,DUPLICATE_ALREADY_COVERED,"normalized identity is current Special ID 793 piledriver (sex)","same identity","none",HIGH,"current Special also contains semantic piledriver support"
micro_pasties,,,DUPLICATE_ALREADY_COVERED,"current Special ID 2439 micro pasties","same identity","none",HIGH,"not a true Special gap"
asymmetrical_docking,14548,,DUPLICATE_ALREADY_COVERED,"current Special ID 2382 asymmetrical docking","same identity","none",HIGH,"legacy gap recall was false after current-Special check"
symmetrical_docking,13872,,DUPLICATE_ALREADY_COVERED,"current Special ID 2383 symmetrical docking","same identity","none",HIGH,"legacy gap recall was false after current-Special check"
oral_invitation,2650,,DUPLICATE_ALREADY_COVERED,"current Special ID 1725 oral invitation","same identity","none",HIGH,"legacy gap recall was false after current-Special check"
micro_panties,3160,,DISCOVERY_QUEUE,"current General canonical; current Special exact identity absent","not yet closed","alias/canonical_target closure required before promotion",MEDIUM,"count from 2026-09-02 coverage audit"
micro_bra,,,DISCOVERY_QUEUE,"current General canonical; current Special exact identity absent","not yet closed","retrieve count plus alias/canonical_target closure",LOW,"do not promote until closure is complete"
micro_shorts,,,DISCOVERY_QUEUE,"current General canonical; current Special exact identity absent","not yet closed","retrieve count plus alias/canonical_target closure",LOW,"do not promote until closure is complete"
